computer-science,data-science,economics
COMP SCI/MATH 240,MATH 221,MATH 221
COMP SCI/E C E 252,MATH 222,MATH 171
COMP SCI 300,STAT 240,MATH 217
COMP SCI/E C E 354,STAT 340,MATH 211
COMP SCI 400,COMP SCI 220,MATH 213
MATH 221,COMP SCI 300,MATH 211
MATH 222,COMP SCI 320,ECON 205
MATH 171,L I S 461,ECON 310
MATH 217,MATH 217,ECON 400
MATH 222,E C E/I SY E 570,ECON 410
MATH 320,COMP SCI/E C E/M E 532,MATH/STAT 309
MATH 340,COMP SCI/E C E/M E 539,MATH/STAT 431
MATH 341,COMP SCI 540,STAT 311
MATH 375,GEN BUS 656,STAT 324
STAT/MATH 309,I SY E 521,STAT 340
STAT 311,MATH 535,ECON 101
STAT 324,PHYSICS 361,ECON 102
MATH 331,STAT 453,ECON 111
STAT 333,COMP SCI 400,ECON 301
STAT 340,COMP SCI 412,ECON 302
STAT 371,COMP SCI/STAT 471,ECON 311
STAT/MATH 431,COMP SCI/MATH 513,ECON 312
MATH 531,COMP SCI/MATH 514,ECON 400
COMP SCI 577,COMP SCI/E C E/I SY E 524,ECON 409
COMP SCI 520,COMP SCI 544,ECON 410
COMP SCI 407,COMP SCI 564,ECON 435
COMP SCI/E C E 506,COMP SCI 565,ECON 441
COMP SCI 536,COMP SCI/B M I 576,ECON 442
COMP SCI 538,GEOG 573,ECON 448
COMP SCI 537,GEOG 574,ECON 450
COMP SCI 542,MATH 444,ECON 451
COMP SCI 544,ECON 400,ECON 455
COMP SCI/E C E 552,ECON 410,ECON 458
COMP SCI 564,ECON 460,ECON 460
COMP SCI 640,GEOG 579,ECON 461
COMP SCI 642,I SY E 575,ECON 464
COMP SCI 412,STAT/MATH 309,ECON 467
COMP SCI/I SY E/MATH 425,STAT 311,ECON 468
COMP SCI/MATH 513,MATH/STAT 431,ECON 475
COMP SCI/MATH 514,STAT/MATH 310,ECON/FINANCE 503
COMP SCI/E C E/I SY E 524,STAT 312,ECON 521
COMP SCI/I SY E/MATH/STAT 525,STAT 349,ECON 522
COMP SCI 534,STAT 351,ECON/RMI 530
COMP SCI 540,STAT 421,ECON/POP HLTH/PUB AFFR 548
COMP SCI 541,STAT/M E 424,ECON 570
COMP SCI 559,STAT 436,ECON 580
COMP SCI 565,STAT 443,ECON 621
COMP SCI 566,STAT 456,ECON 623
COMP SCI 570,STAT 461,ECON 661
COMP SCI 571,STAT 575,ECON 664
COMP SCI 407,MATH 531,ECON 666
COMP SCI 412,MATH/I SY E/OTM/STAT 632,ECON 690
COMP SCI/I SY E/MATH 425,MATH 635,ECON 695
COMP SCI/E C E/MATH 435,MATH 320,ECON/FINANCE 300
COMP SCI/STAT 471,MATH 340,ECON/HIST SCI 305
COMP SCI/MATH/STAT 475,MATH 341,ECON/AAE/REAL EST/URB R PL 306
COMP SCI/E C E 506,MATH 375,ECON 309
COMP SCI/MATH 513,COMP SCI/I SY E/MATH 425,ECON 315
COMP SCI/MATH 514,COMP SCI/I SY E/MATH/STAT 525,ECON/FINANCE 320
COMP SCI/DS/I SY E 518,COMP SCI/E C E 533,ECON 321
COMP SCI 520,COMP SCI 559,ECON 330
COMP SCI/E C E/ISYE 524,COMP SCI/BMI 567,ECON/AAE/ENVIR ST 343
COMP SCI/I SY E/MATH/STAT 525,COMP SCI 577,ECON 355
COMP SCI/I SY E 526,E C E 203,ECON 370
COMP SCI/E C E/M E 532,ECON 315,ECON/AAE 371
COMP SCI/E C E 533,ECON 570,ECON 390
COMP SCI 534,ECON 695,ECON/REAL EST/URB R PL 420
COMP SCI 536,GEOG 378,ECON/AAE 421
COMP SCI 537,GEOG 572,ECON/ENVIR ST/POLI SCI/URB R PL 449
COMP SCI 538,GEOG 575,ECON/AAE/INTL BUS 462
COMP SCI/E C E/M E 539,I SY E 323,ECON 465
COMP SCI 540,I SY E 412,ECON/HISTORY 466
COMP SCI 541,I SY E/M E 512,ECON/AAE 473
COMP SCI 542,I SY E 612,ECON/AAE 474
COMP SCI 544,INFO SYS 322,ECON/AAE 477
COMP SCI/E C E 552,L I S 407,ECON/PHILOS 524
COMP SCI/I SY E/M E 558,L I S 440,ECON/AAE 526
COMP SCI 559,L I S 464,ECON/AAE/F&W ECOL 531
COMP SCI/E C E 561,L I S 501,ECON/SOC 663
COMP SCI 564,LSC 460,ECON/AAE/ENVIR ST/URB R PL 671
COMP SCI 565,LSC 660,
COMP SCI 566,MATH 331,
COMP SCI/BMI 576,SOC 351,
COMP SCI 577,SOC/C&E SOC 618,
COMP SCI/DS 579,SOC/C&E SOC 693,
COMP SCI 620,SOIL SCI 585,
COMP SCI/I SY E 635,STAT 405,
COMP SCI 640,STAT 433,
COMP SCI 642,STAT 451,
COMP SCI 639,,
COMP SCI 200,,
